Id,MapId,Name,Url,Type,IsActive,IsExpanded,DefaultOpacity,LayerOrder,IsBaseMap,IsDeleted,IsSnappable,IsUnsearchable,GroupLayer,IsReestr,IsService,IsUserLayer
100,1,OpenStreetMap,https://{a-c}.tile.openstreetmap.org/{z}/{x}/{y}.png,xyz,true,false,0,1,true,false,false,true,BACKGROUND:OpenStreetMap,false,false,false
98,1,OpenStreetMap,https://{a-c}.tile.openstreetmap.org/{z}/{x}/{y}.png,xyz,true,false,0,1,true,false,false,true,BACKGROUND:OpenStreetMap,false,false,false
96,1,OpenStreetMap,https://{a-c}.tile.openstreetmap.org/{z}/{x}/{y}.png,xyz,true,false,0,1,true,false,false,true,BACKGROUND:OpenStreetMap,false,false,false
94,1,OpenStreetMap,https://{a-c}.tile.openstreetmap.org/{z}/{x}/{y}.png,xyz,true,false,0,1,true,false,false,true,BACKGROUND:OpenStreetMap,false,false,false
93,1,OpenStreetMap,https://{a-c}.tile.openstreetmap.org/{z}/{x}/{y}.png,xyz,true,false,0,1,true,false,false,true,BACKGROUND:OpenStreetMap,false,false,false
86,1,OpenStreetMap,https://{a-c}.tile.openstreetmap.org/{z}/{x}/{y}.png,xyz,true,false,0,8,true,false,false,true,BACKGROUND:OpenStreetMap,false,false,false
83,1,OpenStreetMap,https://{a-c}.tile.openstreetmap.org/{z}/{x}/{y}.png,xyz,true,false,0,2,true,false,false,true,BACKGROUND:OpenStreetMap,false,false,false
104,1,OpenStreetMap,https://{a-c}.tile.openstreetmap.org/{z}/{x}/{y}.png,xyz,false,false,0,1,true,false,false,true,BACKGROUND:OpenStreetMap,false,false,false
174,1,waze,https://worldtiles1.waze.com/tiles/{z}/{x}/{y}.png,xyz,false,false,0,22,true,false,false,false,BACKGROUND:waze,false,false,false
135,1,MapBox космоснисмки,https://api.mapbox.com/v4/mapbox.satellite/{z}/{x}/{y}.webp?sku=101S0AiAdllT3&access_token=pk.eyJ1IjoiYW5kcmVhc2t1bmRpZyIsImEiOiJja3ZxcnlmNXc2ZzUwMnFva2F2a3Q1azU5In0.NrvCU8OKlkwJOVFOgZzTzA,xyz,false,false,0,5,true,false,false,true,BACKGROUND:MapBoxkosmosnismki,false,false,false
